ID,total+AF8-number+AF8-employees,Department of Transportation,Department of Labor,Department of Justice,Department of the Interior,Department of Commerce,National Aeronautics and Space Administration,Department of Agriculture
338,12,0,0,0,0,0,0,0
339,4,0,0,0,0,0,0,0
340,1,0,0,0,0,0,0,0
341,1,0,0,0,0,0,0,0
342,11,0,0,0,0,0,0,0
343,16,0,0,0,0,0,0,1
344,4,0,0,0,0,0,0,1
345,3,0,0,0,0,0,0,1
346,2,0,0,0,0,0,0,1
347,4,0,0,0,0,0,0,1
348,1,0,0,0,0,0,0,1
349,9,0,0,0,0,0,0,1
350,17,0,0,0,0,0,0,1
351,10,0,0,0,0,0,0,1
352,30,0,0,0,0,0,0,1
353,10,0,0,0,0,0,0,1
354,2,0,0,0,0,0,0,1
355,1,0,0,0,0,0,0,1
356,36,0,0,0,0,0,0,1
357,2,0,0,0,0,0,0,1
358,4,0,0,0,0,0,0,1
359,1,0,0,0,0,0,0,1
360,1,0,0,0,0,0,0,1
361,5,0,0,0,0,0,0,1
362,5,0,0,0,0,0,0,1
363,4,0,0,0,0,0,0,1
364,1,0,0,0,0,0,0,1
365,2,0,0,0,0,0,0,1
366,6,0,0,0,0,0,0,1
367,2,0,0,0,0,0,0,1
368,1,0,0,0,0,0,0,1
369,2,0,0,0,0,0,0,1
370,5,0,0,0,0,0,0,1
371,2,0,0,0,0,0,0,1
372,6,0,0,0,0,0,0,1
373,2,0,0,0,0,0,0,1
374,2,0,0,0,0,0,0,1
375,3,0,0,0,0,0,0,1
376,1,0,0,0,0,0,0,1
377,34,0,0,0,0,0,0,1
378,1,0,0,0,0,0,0,1
379,4,0,0,0,0,0,0,1
380,2,0,0,0,0,0,0,1
381,5,0,0,0,0,0,0,1
382,7,0,0,0,0,0,0,1
383,1,0,0,0,0,0,0,1
384,4,0,0,0,0,0,0,1
385,5,0,0,0,0,0,0,0
386,2,0,0,0,0,0,0,0
387,3,0,0,0,0,0,0,0
388,4,0,0,0,0,0,0,0
389,10,0,0,0,0,0,0,0
390,7,0,0,0,0,0,0,0
391,2,0,0,0,0,0,0,0
392,3,0,0,0,0,0,0,0
393,5,0,0,0,0,0,0,0
394,11,0,0,0,0,0,0,0
395,4,0,0,0,0,0,0,0
396,4,0,0,0,0,0,0,0
397,5,0,0,0,0,0,0,0
398,4,0,0,0,0,0,0,0
399,2,0,0,0,0,0,0,0
400,1,0,0,0,0,0,0,0
401,3,0,0,0,0,0,0,0
402,4,0,0,0,0,0,0,0
403,7,0,0,0,0,0,0,0
404,2,0,0,0,0,0,0,0
405,1,0,0,0,0,0,0,0
406,1,0,0,0,0,0,0,0
407,1,0,0,0,0,0,0,0
408,2,0,0,0,0,0,0,0
409,9,0,0,0,0,0,0,0
410,2,0,0,0,0,0,0,0
411,5,0,0,0,0,0,0,0
412,1,0,0,0,0,0,0,0
413,4,0,0,0,0,0,0,0
414,10,0,0,0,0,0,0,0
415,3,0,0,0,0,0,0,0
416,1,0,0,0,0,0,0,1
417,4,0,0,0,0,0,0,1
418,3,0,0,0,0,0,0,1
419,3,0,0,0,0,0,0,1
420,5,0,0,0,0,0,0,1
421,1,0,0,0,0,0,0,1
422,1,0,0,0,0,0,0,1
423,2,0,0,0,0,0,0,1
424,6,0,0,0,0,0,0,1
425,11,0,0,0,0,0,0,1
426,8,0,0,0,0,0,0,1
427,1,0,0,0,0,0,0,1
428,6,0,0,0,0,0,0,1
429,1,0,0,0,0,0,0,1
430,2,0,0,0,0,0,0,1
431,1,0,0,0,0,0,0,1
432,2,0,0,0,0,0,0,1
433,2,0,0,0,0,0,0,0
434,6,0,0,0,0,0,0,1
435,9,0,0,0,0,0,0,1
436,1,0,0,0,0,0,0,1
437,2,0,0,0,0,0,0,1
438,1,0,0,0,0,0,0,0
439,3,0,0,0,0,0,0,0
440,2,0,0,0,0,0,0,0
441,3,0,0,0,0,0,0,0
442,2,0,0,0,0,0,0,0
443,4,0,0,0,0,0,0,0
444,28,0,0,0,0,0,0,1
445,7,0,0,0,0,0,0,1
446,2,0,0,0,0,0,0,1
447,1,0,0,0,0,0,0,1
448,1,0,0,0,0,0,0,1
449,5,0,0,0,0,0,0,1
450,6,0,0,0,0,0,0,1
451,9,0,0,0,0,0,0,1
452,9,0,0,0,0,0,0,1
453,5,0,0,0,0,0,0,1
454,2,0,0,0,0,0,0,1
455,1,0,0,0,0,0,0,1
456,5,0,0,0,0,0,0,1
457,1,0,0,0,0,0,0,1
458,1,0,0,0,0,0,0,1
459,4,0,0,0,0,0,0,1
460,8,0,0,0,0,0,0,1
461,1,0,0,0,0,0,0,1
462,2,0,0,0,0,0,0,1
463,2,0,0,0,0,0,0,1
464,4,0,0,0,0,0,0,1
465,7,0,0,0,0,0,0,0
466,1,0,0,0,0,0,0,0
467,5,0,0,0,0,0,0,0
468,2,0,0,0,0,0,0,0
469,3,0,0,0,0,0,0,0
470,3,0,0,0,0,0,0,0
471,1,0,0,0,0,0,0,0
472,5,0,0,0,0,0,0,0
473,3,0,0,0,0,0,0,0
474,1,0,0,0,0,0,0,0
475,2,0,0,0,0,0,0,0
476,5,0,0,0,0,0,0,0
477,3,0,0,0,0,0,0,0
478,1,0,0,0,0,0,0,0
479,2,0,0,0,0,0,0,0
480,1,0,0,0,0,0,0,0
481,3,0,0,0,0,0,0,0
482,2,0,0,0,0,0,0,0
483,3,0,0,0,0,0,0,0
484,5,0,0,0,0,0,0,0
485,6,0,0,0,0,0,0,0
486,1,0,0,0,0,0,0,0
487,1,0,0,0,0,0,0,0
488,10,0,0,0,0,0,0,0
489,18,0,0,0,0,0,0,0
490,10,0,0,0,0,0,0,0
491,11,0,0,0,0,0,0,0
492,6,0,0,0,0,0,0,1
493,10,0,0,0,0,0,0,1
494,1,0,0,0,0,0,0,1
495,2,0,0,0,0,0,0,1
496,1,0,0,0,0,0,0,1
497,2,0,0,0,0,0,0,1
498,3,0,0,0,0,0,0,1
499,3,0,0,0,0,0,0,1
500,3,0,0,0,0,0,0,1
501,2,0,0,0,0,0,0,1
502,4,0,0,0,0,0,0,1
503,1,0,0,0,0,0,0,1
504,1,0,0,0,0,0,0,1
505,1,0,0,0,0,0,0,1
506,1,0,0,0,0,0,0,1
507,12,0,0,0,0,0,0,1
508,4,0,0,0,0,0,0,1
509,1,0,0,0,0,0,0,1
510,3,0,0,0,0,0,0,1
511,2,0,0,0,0,0,0,1
512,2,0,0,0,0,0,0,1
513,3,0,0,0,0,0,0,1
514,1,0,0,0,0,0,0,1
515,4,0,0,0,0,0,0,1
516,1,0,0,0,0,0,0,1
517,6,0,0,0,0,0,0,1
518,7,0,0,0,0,0,0,1
519,5,0,0,0,0,0,0,1
520,2,0,0,0,0,0,0,1
521,35,0,0,0,0,0,0,1
522,5,0,0,0,0,0,0,1
523,1,0,0,0,0,0,0,1
524,1,0,0,0,0,0,0,1
525,1,0,0,0,0,0,0,1
526,5,0,0,0,0,0,0,1
527,14,0,0,0,0,0,0,1
528,1,0,0,0,0,0,0,1
529,2,0,0,0,0,0,0,1
530,14,0,0,0,0,0,0,1
531,5,0,0,0,0,0,0,1
532,5,0,0,0,0,0,0,1
533,5,0,0,0,0,0,0,1
534,4,0,0,0,0,0,0,1
535,1,0,0,0,0,0,0,1
536,9,0,0,0,0,0,0,1
537,16,0,0,0,0,0,0,1
538,5,0,0,0,0,0,0,1
539,2,0,0,0,0,0,0,1
540,1,0,0,0,0,0,0,1
541,1,0,0,0,0,0,0,1
542,4,0,0,0,0,0,0,1
543,1,0,0,0,0,0,0,1
544,1,0,0,0,0,0,0,1
545,1,0,0,0,0,0,0,1
546,2,0,0,0,0,0,0,1
547,19,0,0,0,0,0,0,1
548,1,0,0,0,0,0,0,1
549,1,0,0,0,0,0,0,1
550,8,0,0,0,0,0,0,1
551,2,0,0,0,0,0,0,1
552,6,0,0,0,0,0,0,1
553,2,0,0,0,0,0,0,1
554,2,0,0,0,0,0,0,1
555,3,0,0,0,0,0,0,1
556,1,0,0,0,0,0,0,1
557,3,0,0,0,0,0,0,1
558,3,0,0,0,0,0,0,1
559,6,0,0,0,0,0,0,1
560,1,0,0,0,0,0,0,1
561,10,0,0,0,0,0,0,1
562,2,0,0,0,0,0,0,1
563,2,0,0,0,0,0,0,1
564,2,0,0,0,0,0,0,1
565,3,0,0,0,0,0,0,1
566,2,0,0,0,0,0,0,1
567,2,0,0,0,0,0,0,1
568,9,0,0,0,0,0,0,1
569,4,0,0,0,0,0,0,1
570,2,0,0,0,0,0,0,1
571,8,0,0,0,0,0,0,1
572,1,0,0,0,0,0,0,1
573,3,0,0,0,0,0,0,1
574,1,0,0,0,0,0,0,1
575,2,0,0,0,0,0,0,1
576,2,0,0,0,0,0,0,1
577,3,0,0,0,0,0,0,1
578,1,0,0,0,0,0,0,1
579,1,0,0,0,0,0,0,1
580,5,0,0,0,0,0,0,1
581,3,0,0,0,0,0,0,1
582,1,0,0,0,0,0,0,1
583,1,0,0,0,0,0,0,1
584,7,0,0,0,0,0,0,1
585,2,0,0,0,0,0,0,1
586,5,0,0,0,0,0,0,1
587,1,0,0,0,0,0,0,1
588,4,0,0,0,0,0,0,1
589,3,0,0,0,0,0,0,1
590,15,0,0,0,0,0,0,1
591,4,0,0,0,0,0,0,1
592,4,0,0,0,0,0,0,1
593,3,0,0,0,0,0,0,1
594,2,0,0,0,0,0,0,1
595,7,0,0,0,0,0,0,1
596,5,0,0,0,0,0,0,1
597,2,0,0,0,0,0,0,1
598,32,0,0,0,0,0,0,1
599,2,0,0,0,0,0,0,1
600,8,0,0,0,0,0,0,1
601,2,0,0,0,0,0,0,1
